Participant,MusicState,Criteria,Score
4,1,Concentration,2
5,1,Concentration,3
6,1,Concentration,3
7,1,Concentration,5
8,1,Concentration,2
9,1,Concentration,4
10,1,Concentration,3
11,1,Concentration,5
12,1,Concentration,2
13,1,Concentration,3
14,1,Concentration,4
15,1,Concentration,4
16,1,Concentration,5
17,1,Concentration,4
18,1,Concentration,3
19,1,Concentration,4
20,1,Concentration,4
21,1,Concentration,5
22,1,Concentration,5
23,1,Concentration,5
24,1,Concentration,5
25,1,Concentration,4
26,1,Concentration,5
27,1,Concentration,5
28,1,Concentration,4
29,1,Concentration,5
30,1,Concentration,5
